id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3Alwi53Ahc2GwHgvel42b2,0.827,0.611,10,-5.989,1,0.0297,0.606,4.33e-06,0.104,0.716,107.993,4
31VNCmwspR7nVJ6kruUuJt,0.854,0.636,11,-7.972,1,0.0406,0.527,0.0,0.135,0.858,125.512,4
6xKs4CnVadRzdNZ48vhT27,0.59,0.498,3,-4.981,1,0.0313,0.679,0.0,0.133,0.345,78.005,4
7yfcQynap4xcNqnydaFw83,0.689,0.634,11,-6.78,0,0.0439,0.442,7.19e-06,0.12,0.241,102.995,4
5XfGQZA0ioQAWUjlyJRcHc,0.641,0.326,8,-8.716,1,0.0325,0.789,0.0,0.104,0.474,143.997,4
3NvH1v6NOxlawEoCXjg9sK,0.681,0.492,3,-7.494,1,0.0286,0.703,0.0,0.369,0.574,94.979,4
2xOhv7XudrBDtkID1jwsFE,0.808,0.414,5,-10.95,1,0.038,0.864,0.000118,0.174,0.609,115.041,4
5ECHJ1llWBNYLVCYrllD3x,0.71,0.552,5,-10.257,1,0.0694,0.761,1.22e-05,0.0921,0.617,139.904,4
4oGgxjxVOI69h9uOpHOzwn,0.812,0.449,6,-9.165,1,0.293,0.101,7.77e-05,0.103,0.514,94.937,4
3A9A7mfVDVm3rrS9SMGhg5,0.695,0.44,6,-8.482,1,0.0332,0.678,0.00137,0.103,0.225,115.009,4
7tFwBnuaGXqiiONukPRaCo,0.772,0.519,9,-10.351,1,0.0409,0.639,0.00203,0.101,0.628,120.038,4
5XK9xF4Wu2ch0zSPSHHuqv,0.806,0.687,10,-5.802,0,0.0377,0.105,0.000595,0.0573,0.863,126.054,4
1ZSwYD21wiQCx3VYrnQHMm,0.719,0.742,2,-6.005,1,0.0551,0.389,0.0,0.0836,0.713,139.942,4
64UWFwTIsfoHZolWAjKGgw,0.64,0.355,11,-7.637,1,0.0876,0.8,0.0,0.11,0.815,145.142,4
